SRC:it	 ChatGPT to English	IMP_GPT	TRM_GPT	UGR_GPT	MIS_GPT	STL_GPT	PRF_GPT	PRN_GPT	SEGS_GPT	Google Translate to English	IMP_GT	TRM_GT	UGR_GT	MIS_GT	STL_GT	PRF_GT	PRN_GT	SEGS_GT	Gold Standard	Comment
Ricorda che in questa fase, per motivi di sicurezza, l’accesso alla zona rossa sarà regolamentato.	Remember that in this phase, for safety reasons, access to the red zone will be regulated.					1			1	Remember that at this stage, for security reasons, access to the red zone will be regulated.		1			1			2	Remember that during this phase, access to the red zone will be restricted for safety reasons.	a. The word order in both samples reflects the cast from the source text. b. Also, the Google segment displays the term "security", whose meaning encompass several concepts, like national security etc. In this case, since the scenario is the one of a natural disaster, it would be preferable to opt for  "safety".
Se vivi in zona gialla	If you live in the yellow zone								0	If you live in the yellow zone								0	If you live in the yellow zone	
Assicurati di avere a disposizione mascherine protettive, occhiali antipolvere, cibo, acqua, medicine, torcia e attrezzi per rimuovere la cenere.	Ensure you have protective masks, dust goggles, food, water, medications, a flashlight, and tools to remove ash.								0	Make sure you have protective masks, dust glasses, food, water, medicine, a flashlight and tools to remove ash.								0	Ensure you have protective masks, dust glasses, food, water, medicine, flashlight, and ash removal tools.	
Se tu o un tuo familiare avete patologie respiratorie o cardiovascolari, consultate il vostro medico per capire come proteggere al meglio la vostra salute in caso di evento.	If you or a family member have respiratory or cardiovascular conditions, consult your doctor to understand how to best protect your health in the event of an emergency.								0	If you or a family member has respiratory or cardiovascular diseases, consult your doctor to understand how to best protect your health in the event of an event.	2	2		2	2			8	If you or a family member has a respiratory or cardiovascular condition, consult your doctor to know how to protect your/their health.	a. The Google segment shows a repetition of the term "event" that highly impacts the translation outcome as it makes the meaning conveyed not understandable for readers.  b. Gold Standard translation displays an omission in the same point. The message sounds more fluid but an important piece of information is missing.  c. Both Google and Gold Standard translation displat the verb "to have" as "has" even with more than one pronoun. 
In questa fase operativa viene inviato il messaggio IT-alert per avvisare di una possibile eruzione imminente.	In this operational phase, the IT-alert message will be sent to warn of a possible imminent eruption.					2			2	In this operational phase, the IT- alert message is sent to warn of a possible imminent eruption.					1			1	In this operational phase, the IT-alert message is sent to alert of a potential upcoming eruption.	a. All of three samples show the expression "in this operation phase" which is not wrong, but results highly cast from the source text. The translation could sound better if replacing it with "at this stage" or just "in this phase". b. A high degree of cast from the source text can be detected in the ChatGPT sample when looking at the future tense in the expression "will be sent". Usually, as these are instructions, present tense works better.
In allarme, è previsto l’allontanamento della popolazione dalla zona rossa. 	In the alarm phase, the population in the red zone is expected to evacuate.								0	In alarm, the population is expected to move away from the red zone. 		2			2			4	In the alarm phase, evacuation of the population from the red zone is planned. 	The Google translation requires a bit more of interpretation as it doesn't specify that there is an alarm phase, as displayed in the other samples, and it also transaltes "allontanamento" as "to move away". Although right, since the topic is how to act during a natural disaster, nouns/verbs such as "evacuation"/"to evacuate" would be more appropriate. 
Il tempo massimo stimato per questa attività è di tre giorni (72 ore). 	The maximum estimated time for this activity is three days (72 hours). 	4	4		4				12	The maximum estimated time for this activity is three days (72 hours). 	4	4		4				12	The maximum estimated time for the evacuation is three days (72 hours). 	In both samples there is a high cast from the source text when translating the evacuation as "the activity". 
Le operazioni sono coordinate dalle autorità di protezione civile.	Operations are coordinated by Civil Protection authorities.								0	The operations are coordinated by the civil protection authorities.						1		1	Operations are coordinated by civil protection authorities.	
Una volta diramato l’ordine di allontanamento, vai a casa e prepara la valigia. 	Once the evacuation order is issued, go home and pack your suitcase. 								0	Once the order to stay away has been issued, go home and pack your suitcase. 	2			2	2			6	Once the evacuation order has been issued, go home, and pack your suitcase. 	The Google sample does not take into account that the scenario of the source text is set during a natural disaster, hence "to stay away" should be replaced by "to evacuate" or "evacuation".
Ricorda di prendere le cose essenziali (documenti, medicine ecc.).	Remember to take essential items (documents, medications, etc.).					1			1	Remember to take the essentials (documents, medicines, etc.).		1						1	Remember to take essentials (documents, medicines, etc.).	a. In the Google and Gold Standard samples "medications" suits better than "medicines". b. We see a cast from the original text with "essential items". The other samples translate as "essentials".
Non perdere tempo a mettere in salvo beni e oggetti che non porterai con te.	Do not waste time securing belongings that you will not bring with you. 					1			1	Don't waste time saving goods and objects that you won't be taking with you.					1			1	Do not waste time securing unnecessary possessions and items.	
Prima di uscire di casa chiudi porte, finestre, gas, acqua e disattiva l’impianto elettrico.	Before leaving, close doors, windows, gas, and water and turn off the electricity.								0	Before leaving the house, close doors, windows, gas, water and turn off the electrical system.								0	Before you leave home close doors and windows and turn off the electrical, gas, and water systems.	ChatGPT sample displays an addition "and" before water when this is not required not present in the original text.
Se decidi di uscire dall’area autonomamente, segui solo le vie di allontanamento previste nella pianificazione, secondo gli orari stabiliti.	If you decide to leave the area independently, follow only the evacuation routes outlined in the plan, adhering to the scheduled times.								0	If you decide to leave the area on your own, follow only the exit routes provided in the planning, according to the established times.								0	If you decide to leave the area autonomously, follow only the evacuation routes provided in the Plan, according to the established timetables.	
Assicurati che la tua auto abbia il rifornimento sufficiente.	Make sure your car has enough fuel.								0	Make sure your car has enough fuel.								0	Make sure your car has sufficient fuel.	
Se scegli il trasporto assistito, raggiungi l’area di attesa a te assegnata dal Piano di protezione civile comunale, secondo le tempistiche previste dal tuo Comune.	If you choose assisted transportation, go to the designated waiting area assigned by your municipality’s Civil Protection Plan, according to the timetable provided by your municipality.								0	If you choose assisted transport, reach the waiting area assigned to you by the Municipal Civil Protection Plan, according to the timeframes provided by your Municipality.						1		1	If you choose assisted transportation, get to the waiting area assigned to you by the Municipality's Civil Protection Plan, according to the timetable provided.	
Potrai portare con te il tuo animale domestico, secondo le modalità fornite dal tuo Comune.	You can bring your pet with you, following the guidelines provided by your municipality.								0	You can bring your pet with you, according to the methods provided by your Municipality.						1		1	You may bring your pet with you according to the arrangements provided by your municipality.	
L’interdizione della zona rossa potrà durare molto tempo e l’accesso all’area sarà presidiato dalle forze dell’ordine.	Access to the red zone may be prohibited for a long time, and the area will be monitored by law enforcement.		1						1	The red zone ban may last a long time and access to the area will be supervised by law enforcement.		1			1			2	The red zone exclusion may last for a long time, and access to the area will be controlled by police forces.	"To monitor" might suit better than "to supervise" in the Google sample. 
Preparati anche tu a un possibile allontanamento temporaneo.	Prepare yourself for possible temporary evacuation as well.								0	prepare yourself for a possible temporary removal.	4	4		4	4			16	Be prepared for possible temporary evacuation as well.	The meaning conveyed in teh Google translation is highly impacted from the term "removal" which does not look to be the correct translation in this case. Such choice might trigger misunderstandings. 
Tutte le persone della zona rossa hanno trovato autonomamente una sistemazione al di fuori delle zone a rischio o sono state trasferite nelle Regioni o Province Autonome gemellate.	All residents of the red zone have either independently arranged accommodation outside the risk areas or been relocated to the paired Regions or Autonomous Provinces.								0	All the people in the red zone have independently found accommodation outside the risk areas or have been transferred to the twinned Regions or Autonomous Provinces.								0	All people in the red zone have autonomously found accommodation outside the red zone or have been relocated to the twinned Regions or Autonomous Provinces.	
Se ti trovi in un’area interessata da ricaduta abbondante di ceneri vulcaniche, su richiesta delle autorità di protezione civile, devi lasciare temporaneamente la tua abitazione.	If you are in an area affected by heavy volcanic ashfall, at the request of Civil Protection authorities, you must temporarily leave your home. You will be assigned accommodation within the Campania Region.								0	If you are in an area affected by heavy volcanic ash fallout, at the request of the civil protection authorities, you must temporarily leave your home. You will be assigned accommodation within the Campania Region.						1		1	If your area is suffering from heavy volcanic ash fallout, you must temporarily leave your home at the request of civil protection authorities. You will be assigned accommodation within the Campania Region.	
Prima di bere l’acqua dal rubinetto assicurati che ordinanze o avvisi comunali non lo vietino; lava bene i cibi che sono venuti a contatto con le ceneri vulcaniche.	Before drinking tap water, make sure municipal ordinances or advisories do not prohibit it; thoroughly wash food that has come into contact with volcanic ash.	4				4			8	Before drinking tap water, make sure there are no ordinances or notices prohibiting it; wash any food that has come into contact with volcanic ash thoroughly.								0	Before drinking water from the tap, make sure that municipal ordinances or notices do not ban it; wash well any food that has come in contact with volcanic ashes.	a. The sentence structure in the ChatGPT sample makes quite hard to understand the meaning as it displays the phrase with almost a double negative (that for English speakers might sound like an affirmation). Sentence structures as shown in the other two samples are preferable. b. Gold Standard translation displays "water from the tap". Usually, the expression "tap water" is way more familiar among English speakers. 
Se la zona in cui vivi non è stata evacuata, durante la ricaduta di ceneri vulcaniche, rimani in casa con le finestre chiuse.	If the area where you live has not been evacuated, during volcanic ashfall, stay indoors with windows closed.								0	If the area where you live has not been evacuated, during volcanic ash fallout, stay indoors with the windows closed.		1			1			2	If your area has not been evacuated during volcanic ash fallout, stay indoors with windows closed.	
Se devi uscire è consigliabile indossare una mascherina protettiva e occhiali antipolvere.	If you need to go outside, it is advisable to wear a protective mask and dust goggles.								0	If you have to go out, it is advisable to wear a protective mask and dust goggles.								0	Please wear a protective mask and dust glasses if you must go outside.	ChatGPT and Google segments stick, in the structure, to the source text. Gold Standard translation, on the other hand, sounds more organic.
È molto pericoloso guidare nei tratti di strada coperti di cenere. 	Driving on roads covered with ash is very dangerous. 								0	It is very dangerous to drive on ash-covered sections of road. 		1			1			2	It is extremely dangerous to drive on ash-covered roads. 	
L’auto può danneggiarsi e intralciare i mezzi di soccorso. 	The car may be damaged and obstruct emergency vehicles. 								0	The car can be damaged and hinder emergency vehicles. 					2			2	Your car can get damaged and impede emergency vehicles. 	
Evita l’uso di motocicli.	Avoid using motorcycles.								0	Avoid using motorcycles.								0	Avoid the use of motorcycles.	
Cosa fare - Rischio vulcanico e bradisismo	What to do - Volcanic risk and bradyseism								0	What to do - Volcanic risk and bradyseism								0	What to do - Volcanic risk and bradyseism	
Anche tu, con semplici azioni, puoi prepararti ad affrontare meglio il fenomeno bradisismico e il rischio di una eventuale eruzione futura:	Even you, with simple actions, can better prepare yourself to face the phenomenon of bradyseism and the risk of a potential future eruption:					2			2,0	You too, with simple actions, can better prepare yourself to deal with the bradyseismic phenomenon and the risk of a possible future eruption:								0	You too, with simple actions, can prepare to better deal with the bradyseismic phenomenon and the risk of a possible future eruption:	
Tieniti informato sulla crisi bradisismica in atto e, più in generale, sul rischio vulcanico che interessa l’area dei Campi Flegrei, consultando le fonti istituzionali, tra cui i siti web dell’Osservatorio Vesuviano dell'INGV, del Dipartimento della Protezione Civile e della Regione Campania.	Stay informed about the ongoing bradyseismic crisis and, more generally, the volcanic risk affecting the Campi Flegrei area by consulting official sources, including the websites of the Vesuvian Observatory of INGV, the Civil Protection Department, and the Campania Region.					2			2	Keep yourself informed on the ongoing bradyseismic crisis and, more generally, on the volcanic risk affecting the Campi Flegrei area, by consulting institutional sources, including the websites of the INGV Vesuvian Observatory, the Department of Civil Protection and the Campania Region.					2			2	Keep up to date and follow the instructions of the civil protection authorities (Municipality, Regional Civil Protection Department, National Civil Protection Department) via radio, television, press, internet, social media and toll-free numbers (Department's Contact Center and Regional Operational Room).	
Informati sul Piano di protezione civile del tuo Comune.	Learn about your municipality's Civil Protection Plan.								0%	Find out about your municipality's civil protection plan.						1		100%	Ask your Municipality about the Civil Protection Plan to find out about escape routes and the waiting areas; otherwise, request its preparation to ensure preparedness.	
Se tu o una persona della tua famiglia avete bisogno di particolare assistenza (persone con disabilità, anziani), segnalalo al tuo Comune.	If you or a family member require special assistance (such as individuals with disabilities or the elderly), report it to your municipality.								0	If you or a person in your family needs particular assistance (people with disabilities, elderly people), report it to your municipality.								0	If you or one of your relatives need special assistance (people with disabilities, elderly people), inform your municipality and make sure that specific measures are provided for in the Civil Protection Plan.	
Partecipa alle esercitazioni e agli incontri informativi sul rischio vulcanico e sul bradisismo organizzati sul territorio.	Participate in drills and informational meetings on volcanic risk and bradyseism organized in your area.		2			2			400%	Participate in exercises and information meetings on volcanic risk and bradyseism organized in the area.								0%	Participate in exercises and information meetings on volcanic risk organized on your territory.	
Informati sulle misure di sostegno e assistenza previste per la crisi bradisismica in atto.	Stay informed about the support and assistance measures available for the ongoing bradyseismic crisis.					2			2	Find out about the support and assistance measures planned for the ongoing bradyseismic crisis.					1			1	Learn about the support and assistance measures planned for the ongoing bradyseismic crisis.	
Se vivi nella zona di intervento, verifica che la tua casa sia sicura e adotta tutti gli accorgimenti necessari a eliminare le situazioni che possono rappresentare un pericolo in caso di terremoto.	If you live in the intervention zone, ensure your home is safe and take all necessary precautions to eliminate potential hazards in the event of an earthquake.		2			2			4	If you live in the intervention area, check that your home is safe and take all the necessary precautions to eliminate situations that could represent a danger in the event of an earthquake.								0	If you live in the intervention area, check that your home is safe and take all necessary steps to eliminate situations that can represent a danger in case of an earthquake.	
Quali accorgimenti puoi adottare per rendere la tua casa più sicura in caso di terremoto?	What steps can you take to make your home safer during an earthquake?	2			2				4	What measures can you take to make your home safer in the event of an earthquake?					2			2	What steps can you take to make your home safer in case of an earthquake?	
Tieni a mente i punti sicuri dove ripararti in caso di terremoto.	Keep in mind the safe spots to take cover in case of an earthquake.	2	2			2			6	Keep in mind the safe places to shelter in case of an earthquake.					2			2	Keep in mind the safe places to take shelter in case of an earthquake.	
Allontana mobili pesanti da letti o divani. 	Move heavy furniture away from beds or sofas. 								0	Move heavy furniture away from beds or sofas.								0	Move heavy furniture away from beds or sofas.	
Fissa alle pareti scaffali, librerie e mobili alti.	Secure shelves, bookcases, and tall furniture to the walls.								0	Attach shelves, bookcases and tall furniture to the walls.								0	Fix shelves, bookcases and tall furniture to the walls.	
Appendi quadri e specchi con ganci chiusi che impediscano loro di staccarsi dalla parete.	Hang pictures and mirrors using closed hooks to prevent them from detaching from the wall.								0	Hang pictures and mirrors with closed hooks that prevent them from coming off the wall.					2			2	Hang pictures and mirrors with closed hooks to prevent them from coming off the wall.	
Metti gli oggetti pesanti sui ripiani bassi degli scaffali; su quelli alti, puoi fissare gli oggetti con il nastro biadesivo.	Place heavy items on the lower shelves; on higher shelves, secure items with double-sided tape.				2				2	Place heavy items on the lower shelves of the shelves; on tall ones, you can secure items with double-sided tape.	2			4				6	Put heavy items onthe lower shelves; on higher ones, you can fix objects with double-sided tape.	
In cucina utilizza un fermo per l’apertura degli sportelli dei mobili dove sono contenuti piatti e bicchieri, in modo che non si aprano durante la scossa.	In the kitchen, use latches on cabinet doors that hold dishes and glasses to prevent them from opening during a quake.		4						4	In the kitchen, use a latch to open the furniture doors where plates and glasses are contained, so that they do not open during the shock.	16	2		16	2			36	In the kitchen, use latches on cabinet doors where plates and glasses are contained, so that they do not open during the earthquake.	
Impara dove sono e come si chiudono i rubinetti di gas, acqua e l’interruttore generale della luce.	Learn the locations of and how to shut off the gas, water valves, and the main power switch.		2			8			10	Learn where the gas and water taps and the main light switch are and how to turn them off.	2	2		2				6	Learn where the gas and water taps and the main power switch are and how to turn them off.	ChatGPT: too literal translation, resulting in a too complicated sentence structure; "water valves" is not immediate GT: "light switch" is not the correct terminology, is too generic and may cause confusion
Prepara un kit di emergenza che contenga copia dei documenti, cassetta di pronto soccorso, medicinali di cui fai uso abitualmente, caricabatterie, copia delle chiavi, qualche indumento, torcia elettrica, batterie di scorta, ecc.	Prepare an emergency kit containing copies of important documents, a first aid kit, medications you use regularly, a charger, spare keys, some clothing, a flashlight, extra batteries, and other essentials.				1		1		2	Prepare an emergency kit containing copies of documents, first aid kit, medicines you usually use, battery charger, copy of keys, some clothing, flashlight, spare batteries, etc.						1		1	Prepare an emergency kit containing copy of your documents, first aid kit, medicines, battery charger, extra keys, some clothes, flashlight, spare batteries, etc.	
In caso di terremoto da bradisismo	In Case of an Earthquake Due to Bradyseism					1			1	In the event of a bradyseism earthquake								0	In case of a bradyseism earthquake	
Durante	During								0	During								0	During	
Se sei in un luogo chiuso	If you are indoors:								0	If you are in a closed place				4				4	If you are indoors	
Mettiti nel vano di una porta inserita in un muro portante (quello più spesso), vicino a una parete portante o sotto una trave, oppure riparati sotto un letto o un tavolo robusto.	Stand in a doorway set in a load-bearing wall (the thickest one), near a load-bearing wall, or under a beam, or take cover under a sturdy bed or table.	2	2			2			6	Get into a doorway in a load-bearing wall (the thickest one), near a load-bearing wall or under a beam, or take shelter under a sturdy bed or table.					2			2	Stand in a doorway set in a load-bearing wall (the thickest one), near a load-bearing wall or under a beam, or take shelter under a bed or a sturdy table.	
Non precipitarti fuori, ma attendi la fine della scossa.	Do not rush outside but wait for the tremor to stop.		4				1		5	Do not rush outside, but wait for the earthquake to end.								0	Do not rush outside, but wait for the earthquake to end.	ChatGPT: "tremor" is too technical; missing comma befor "but"
Se sei all’aperto	If You Are Outdoors								0	If you are outdoors								0	If you are outdoors	
Allontanati da edifici, alberi, lampioni, linee elettriche: potresti essere colpito da vasi, tegole e altri materiali.	Move away from buildings, trees, streetlights, and power lines, as you could be hit by falling objects such as pots, tiles, or other debris.	4	4			4			12	Move away from buildings, trees, street lamps, power lines: you may be hit by vases, tiles and other materials.					1			1	Move away from buildings, trees, lampposts, power lines: you might be hit by pots, tiles and other materials.	
Fai attenzione alle possibili conseguenze del terremoto: crollo di ponti, frane, perdite di gas, ecc.	Be cautious of the possible aftermath of the earthquake: bridge collapses, landslides, gas leaks, etc.		2			2			4	Pay attention to the possible consequences of the earthquake: collapse of bridges, landslides, gas leaks, etc.								0	Pay attention to the possible consequences of the earthquake: collapse of bridges, landslides, gas leakage, etc.	
Dopo	After								0	After								0	After	
Assicurati dello stato di salute delle persone attorno a te e, se necessario, chiama i numeri di emergenza (112, 113, 115, 118); nel frattempo, se sei in grado, presta i primi soccorsi.	Check the health condition of those around you and, if necessary, call emergency numbers (112, 113, 115, 118). In the meantime, if you are able, provide first aid.								0	Check the health status of the people around you and, if necessary, call the emergency numbers (112, 113, 115, 118); in the meantime, if you are able, provide first aid.								0	Check the health status of the people around you and, if necessary, call the emergency numbers (112, 113, 115, 118); in the meantime give first aid, if you can.	
Prima di uscire di casa chiudi gas, acqua e luce e indossa le scarpe.	Before leaving your home, turn off the gas, water, and electricity, and put on sturdy shoes.	2			2				4	Before leaving the house, turn off the gas, water and electricity and wear shoes.								0	Before leaving the house, turn off the gas, water and electricity and put on your shoes.	
Non usare l’ascensore e fai attenzione alle scale perché potrebbero essere danneggiate.	Do not use the elevator, and be cautious on stairways, as they may be damaged.		2			2			4	Do not use the elevator and be careful of the stairs as they may be damaged.								0	Do not use the elevator and pay attention to the stairs, as they might be damaged.	
Limita, per quanto possibile, l’uso del telefono.	Limit phone usage as much as possible.					1			1	Limit, as much as possible, the use of the telephone.					2			2	Limit phone use as much as possible.	GT: too literal and less immediate
Limita l’uso dell’auto per evitare di intralciare il passaggio dei mezzi di soccorso.	Limit car use to avoid obstructing emergency vehicles.								0	Limit the use of the car to avoid obstructing the passage of emergency vehicles.					2			2	Limit car use to avoid obstructing emergency vehicles.	GT: more complicated structure than original
Cosa puoi fare se noti danni dopo una scossa di terremoto?	What can you do if you notice damage after an earthquake?								0	What can you do if you notice damage after an earthquake?								0	What can you do if you notice damage after an earthquake?	
Puoi richiedere un primo sopralluogo speditivo ai Vigili del Fuoco, chiamando il 115. In alternativa, puoi rivolgerti al tuo Comune o a un tecnico di fiducia.	You can request an initial rapid inspection from the Fire Department by calling 115. Alternatively, you can contact your municipality or a trusted technician.		2						2	You can request an initial quick inspection from the Fire Brigade by calling 115. Alternatively, you can contact your municipality or a trusted technician.		2						2	You can request an initial inspection from the Fire Department by dialing 115. Alternatively, you can contact your municipality or a trusted technician.	
Se dopo un terremoto importante il Sistema di protezione civile decide di attivare la procedura per le verifiche AeDES - Agibilità e censimento del Danno nell’Emergenza Sismica, puoi richiedere gratuitamente al tuo Comune un sopralluogo più approfondito da parte di tecnici formati e abilitati per valutare se l'edificio è agibile e classificare il danno causato dal sisma.	If, after a major earthquake, the Civil Protection System decides to activate the AeDES procedure (Usability and Damage Assessment in Seismic Emergencies), you can request a more detailed inspection free of charge from your municipality. Trained and certified technicians will assess whether the building is safe to use and classify the damage caused by the earthquake.								0	If after a major earthquake the Civil Protection System decides to activate the procedure for AeDES checks - Usability and Damage Census in Seismic Emergency, you can request a more in-depth inspection from your Municipality free of charge by trained and authorized technicians to assess whether the building is fit for habitation and classify the damage caused by the earthquake.					1	1		2	If the Civil Protection System decides to activate the procedure for AeDES (Agibility and Damage Survey in Earthquake Emergency)  after a major earthquake, you can request a more thorough inspection by trained and certified technicians from your municipality free of charge, to assess whether the building is safe and classify the damage caused by the earthquake.	
Durante queste verifiche, vengono individuati eventuali danni strutturali, come crepe, fessure, crolli parziali o distacchi di elementi non strutturali (come intonaci, tegole, comignoli, ecc.). 	During these inspections, any structural damage is identified, such as cracks, fissures, partial collapses, or detachment of non-structural elements (such as plaster, tiles, chimneys, etc.).								0	During these checks, any structural damage is identified, such as cracks, fissures, partial collapses or detachments of non-structural elements (such as plaster, tiles, chimney caps, etc.).								0	During these inspections, any structural damage, such as cracks, fissures, partial collapse or detachment of nonstructural elements are identified (such as plaster, roof tiles, chimneys, etc.). 	
Vengono, inoltre, verificate le condizioni delle scale, dei corridoi e delle uscite di sicurezza anche in relazione ai fabbricati circostanti.	The condition of staircases, hallways, and emergency exits is also checked, including in relation to surrounding buildings.								0	Furthermore, the conditions of the stairs, corridors and emergency exits are also checked in relation to the surrounding buildings.					1			1	In addition, the condition of stairways, hallways, and emergency exits are also checked in relation to surrounding buildings.	
Sulla base delle ispezioni speditive, l'edificio viene classificato in una delle seguenti categorie:	Based on the rapid inspections, the building is classified into one of the following categories:								0	Based on expedited inspections, the building is classified into one of the following categories:					1			1	Based on these quick inspections, the building is classified into one of the following categories	
 agibile: l'edificio è sicuro da occupare	Safe to occupy: The building is safe to inhabit.		1			1			2	usable: the building is safe to occupy								0	safe: the building is safe to live in.	
 agibile con prescrizioni: l'edificio è agibile con alcune limitazioni, come il divieto di accesso ad alcune aree o il requisito di interventi di riparazione	Safe to occupy with conditions: The building is habitable with some restrictions, such as prohibiting access to certain areas or requiring repairs.		1			1			2	usable with requirements: the building is usable with some limitations, such as the prohibition of access to some areas or the requirement for repairs					1			1	safe with limitations: the building is usable with some limitations, such as access ban to certain areas or requiring repair work.	
 inagibile: l'edificio è pericoloso e non può essere abitato	Unsafe: The building is dangerous and cannot be inhabited.					1			1	unusable: the building is dangerous and cannot be inhabited					1			1	unsafe: the building is not safe and cannot be inhabited.	
In caso di gas vulcanici	In Case of Volcanic Gases								0	In case of volcanic gases								0	In case of volcanic gases	
Evita zone e strutture depresse dove possono accumularsi gas vulcanici (cantine, garage, piscine vuote, canali di raccolta delle acque, cisterne interrate, pozzi, ecc.).	Avoid low-lying areas and structures where volcanic gases may accumulate (such as basements, garages, empty pools, water collection channels, underground tanks, wells, etc.).		1						1	Avoid depressed areas and structures where volcanic gases can accumulate (cellars, garages, empty swimming pools, water collection channels, underground cisterns, wells, etc.).	2	2			2			6	avoid depressed areas and structures where volcanic gases can accumulate (basements, garages, empty swimming pools, water collection channels, underground tanks, wells, etc.);	
 Evita le aree vicine alle emissioni di gas vulcanici, soprattutto durante le ore notturne e in condizioni meteorologiche sfavorevoli (assenza di vento, nuvolosità, presenza di nebbia).	Avoid areas near volcanic gas emissions, especially during the night and in unfavorable weather conditions (lack of wind, cloudy skies, or fog).					1			1	Avoid areas close to volcanic gas emissions, especially during the night and in unfavorable weather conditions (absence of wind, cloudiness, presence of fog).					1			1	avoid areas near volcanic gas emissions, especially during nighttime and during unfavorable weather conditions (no wind, cloudiness, fog).	
 Se noti situazioni potenzialmente pericolose connesse all’emissione di gas vulcanici, come la presenza di animali morti senza motivi apparenti, allontanati immediatamente e informa subito i Vigili del Fuoco o la Polizia locale.	If you notice potentially dangerous situations related to volcanic gas emissions, such as the presence of dead animals without apparent cause, move away immediately and inform the Fire Department or local Police.		2			2			4	If you notice potentially dangerous situations connected to the emission of volcanic gases, such as the presence of dead animals for no apparent reason, move away immediately and inform the local fire brigade or police immediately.		2						2	if you notice potentially dangerous situations related to volcanic gas emissions, such as the presence of dead animals for no apparent reason, move away immediately and notify the municipality. 	
In previsione di un'eruzione vulcanica	In Anticipation of a Volcanic Eruption						1		1	In anticipation of a volcanic eruption								0	In anticipation of a volcanic eruption	
In attenzione	Stay alert	2			2	2			6	Be careful								0	During the attention phase	
 Sismicità, deformazioni del suolo e gas vulcanici caratterizzano la caldera. 	Seismic activity, ground deformations, and volcanic gases characterize the caldera.					2			2	Seismicity, ground deformations and volcanic gases characterize the caldera.					2			2	Seismicity, ground deformation and volcanic gases characterize the caldera.	
Tieni a mente i comportamenti corretti per queste fenomenologie.	Keep in mind the proper behaviors for these phenomena.								0	Keep in mind the correct behaviors for these phenomena.								0	Remember the correct behaviours for each of these phenomena.	
In preallarme	In Pre-Alert	2	2		2				6	In early warning								0	During the pre-alarm phase	
Se vivi in zona rossa	If you live in the red zone								0	If you live in the red zone								0	If you live in the red zone	
 Se ti vuoi allontanare già in questa fase, puoi farlo: riceverai un contributo economico dallo Stato. 	If you wish to evacuate at this stage, you may do so: you will receive financial assistance from the government.	1				1			2	If you want to leave already at this stage, you can do so: you will receive a financial contribution from the State.	1	1			1			3	If you already want to move away at this stage, you can do so: you will receive a financial contribution from the State	
Nel caso, ricordati di informare il tuo Comune.	In that case, remember to inform your municipality.								0	If so, remember to inform your municipality.								0	In this case, be sure to inform your Municipality.	
 Se decidi di restare, preparati ad allontanarti quando le Autorità lo indicheranno. 	If you decide to stay, be prepared to leave when the authorities give the order.								0	If you decide to stay, be prepared to leave when the authorities indicate so.					1			1	If you decide to stay, be ready to leave as soon as the authorities advise you:	
Se tu o un tuo familiare avete particolari esigenze di assistenza, informa subito il tuo Comune.	If you or a family member have specific assistance needs, inform your municipality immediately.					1			1	If you or a family member have special care needs, inform your municipality immediately.					1			1	Remember to notify your municipality if you or a family member has special assistance needs for removal and alternative housing.	
 Fai un elenco delle cose essenziali da portare con te (documenti, medicine, occhiali da vista, ecc.).	Make a list of essential items to take with you (documents, medications, glasses, etc.).	4	4		2	2			12	Make a list of essential things to bring with you (documents, medicines, eyeglasses, etc.).								0	Make a list of essential things to bring with you (documents, medicines, glasses, etc.).	
 Informati sulle vie di allontanamento da seguire previste dalle pianificazioni comunale e nazionale.	Stay informed about the evacuation routes to follow, as outlined in municipal and national plans.								0	Find out about the distancing routes to follow provided for by municipal and national plans.	1	1		1	1			4	Be informed about removal routes to follow.	
 Se pensi di utilizzare il mezzo messo a disposizione dalla protezione civile, comunicalo al tuo Comune segnalando anche la presenza di eventuali animali domestici per organizzare il loro trasporto.	If you plan to use the transportation provided by civil protection, inform your municipality, also indicating the presence of any pets to organize their transportation.						1		1	If you plan to use the vehicle made available by civil protection, communicate it to your Municipality also reporting the presence of any pets to organize their transport.						1		1	If you plan to use the means made available by the civil protection, inform your Municipality also signaling the presence of pets to organize the transport.	
 Se tu o un tuo familiare siete ricoverati in una struttura sanitaria, sarete trasferiti in un’altra struttura idonea al di fuori della zona a rischio, che potrebbe trovarsi in una Regione diversa da quella gemellata con il tuo Comune.	If you or a family member are in a healthcare facility, you will be transferred to another suitable facility outside the risk zone, which may be located in a different region than the one affiliated with your municipality.		1			1			2	If you or a family member are hospitalized in a health facility, you will be transferred to another suitable facility outside the risk area, which may be in a different region than the one twinned with your municipality.		1						1	If you or a family member are hospitalized in a health center, you will be transferred to another adequate health center outside the area at risk, which can be located in a region other than the one twinned with your Municipality.	
 Ricorda che in questa fase, per motivi di sicurezza, l’accesso alla zona rossa sarà regolamentato.	Remember that, at this stage, access to the red zone will be regulated for safety reasons.								0	Remember that at this stage, for safety reasons, access to the red zone will be regulated.					1			1	Remember that at this stage, for safety reasons the access to the red zone will be controlled.	
Se vivi in zona gialla	If you live in the yellow zone								0	If you live in the yellow zone								0	If you live in the yellow zone	
