SRC:it	 engine1: ChatGPT to English	IMP_GPT	RAM_GPT	TRM_GPT	UGR_GPT	MIS_GPT	STL_GPT	PRF_GPT	PRN_GPT	SEGS_GPT	Google Translate to English	IMP_GT	RAM_GT	TRM_GT	UGR_GT	MIS_GT	STL_GT	PRF_GT	PRN_GT	SEGS_GT	Human Gold Standard	Segment Penalty Score	Levenstein XXX-Human	Comment	Post-edited segment
Una volta fuori, mantieni un atteggiamento prudente.	Once outside, maintain a cautious attitude.						1				Once outside, maintain a prudent attitude.						1				Once outside, maintain a cautious attitude.				Once outside, be on the lookout.
Se sei in una zona a rischio maremoto, allontanati dalla spiaggia e raggiungi un posto elevato.	If you are in a tsunami-risk area, move away from the beach and seek higher ground.			2			1				If you are in a tsunami risk area, move away from the beach and reach a high place.										If you are in a zone exposed to tsunami risk, move away from the beach and reach a higher place.		#ERROR!		
Limita, per quanto possibile, l’uso del telefono.	Limit phone usage as much as possible.										Limit, as much as possible, the use of the telephone.										Limit, as much as possible, the use of the phone.		#ERROR!		
Limita l’uso dell’auto per evitare di intralciare il passaggio dei mezzi di soccorso.	Limit car use to avoid obstructing emergency vehicles.						1				Limit the use of the car to avoid obstructing the passage of emergency vehicles.										Limit the use of the car to avoid obstructing the passage of emergency vehicles.		#ERROR!	"The use of the car" sounds better and more organic than "car use".	
Raggiungi le aree di attesa previste dal Piano di protezione civile comunale.	Reach the designated assembly areas outlined in your municipality's Civil Protection Plan.										Reach the waiting areas provided for by the Municipal Civil Protection Plan.					1	1				Reach the waiting areas provided by your municipality's emergency plan.		#ERROR!		
Cosa fare - Vesuvio	What to do - Vesuvius										What to do - Vesuvius										What to do - Vesuvius			Vesuvius - What To Do	
Verifica se l’area in cui vivi, lavori o soggiorni rientra in zona rossa o gialla.	Check if the area where you live, work, or stay is within the red or yellow zone.										Check if the area where you live, work or stay is in the red or yellow zone.										Verify if the area where you live, work, or stay is in the red or yellow zone.		#ERROR!		
Informati sul Piano di protezione civile del tuo Comune.	Learn about the Civil Protection Plan of your municipality.										Find out about your Municipality's Civil Protection Plan.										Find out about your municipality's Civil Protection Plan.		#ERROR!		
Se tu o un tuo familiare avete bisogno di particolare assistenza (persone con disabilità, anziani), segnalalo al Comune.	If you or a family member needs special assistance (people with disabilities, elderly), report it to your municipality.				1		1				If you or a family member need special assistance (people with disabilities, elderly), report it to the Municipality.										If you or a family member needs special assistance (people with disabilities, older people), report it to the municipality.		#ERROR!		
Tieniti informato sullo stato di attività del vulcano tramite il sito dell’Osservatorio Vesuviano dell’INGV, siti web e social media istituzionali e numeri verdi.	Stay informed about the volcano's activity status through the website of the INGV Vesuvian Observatory, institutional websites and social media, and toll-free numbers.	1		1		1	1				Stay informed about the status of the volcano's activity through the INGV Vesuvius Observatory website, institutional websites and social media, and toll-free numbers.	1		1		1	1				Stay informed about the status of volcanic activity through INGV's Vesuvius Observatory website, institutional websites, social media, and hotline numbers.		#ERROR!	Toll-free numbers, although correct, might not be universally understood. Usually, in case of emergencies or natural disasters, a more appropriate term would be "hotline, as displayed in the Gold Standard sample.	
Le eruzioni vulcaniche sono spesso precedute da terremoti. 	Volcanic eruptions are often preceded by earthquakes. 										Volcanic eruptions are often preceded by earthquakes. 										Earthquakes often precede volcanic eruptions. 		#ERROR!		
Per questo, verifica che la tua casa sia sicura e adotta tutti gli accorgimenti necessari a eliminare le situazioni che possono rappresentare un pericolo.	Therefore, check if your home is safe and take all necessary precautions to eliminate potential hazards.						2				For this reason, make sure your home is safe and take all necessary precautions to eliminate situations that may represent a danger.										Therefore, verify that your home is safe and take all necessary measures to avoid situations that may pose a danger.		#ERROR!	Again, the ChatGPT sample contains the noun "hazard" that might be not be fully undestood by non-English native speaker. Therefore, a more transparent formulation, as in the other two segments, looks like a better option here.	
In questa fase operativa si intensifica il monitoraggio del vulcano e si verificano i Piani di protezione civile.	In this operational phase, volcano monitoring is intensified, and Civil Protection Plans are tested.			1			1				In this operational phase, monitoring of the volcano is intensified and the Civil Protection Plans are verified.										During this operational phase, volcano monitoring is intensified, and Civil Protection Plans are verified.		#ERROR!		
Già in fase di attenzione, quindi ben prima di una eventuale eruzione, l’attività del vulcano può dare luogo a fenomeni pericolosi, come terremoti.	Even during the attention phase, well before a potential eruption, volcanic activity can lead to dangerous phenomena like earthquakes										Already in the attention phase, therefore well before a possible eruption, the volcano's activity can give rise to dangerous phenomena, such as earthquakes.						1				Already in the attention phase, thus well before a potential eruption, volcanic activity can result in dangerous phenomena, such as earthquakes.		#ERROR!		
Tieni quindi a mente i comportamenti relativi al rischio sismico.	Keep in mind behaviors related to seismic risk.			1		1		1			Therefore, keep in mind the behaviors related to seismic risk.										Therefore, keep in mind behaviours related to seismic risk.		#ERROR!	The ChatGPT sample omits the preposition "Therefore".	
Se vivi in zona rossa	If you live in the red zone						1				If you live in a red zone										If you live in a red zone		#ERROR!	In the ChatGPT sample it is preferable to use the indefinite articles as there might be more than one red zone. 	
Chiedi al tuo Comune informazioni sul Piano di protezione civile per sapere quali sono le vie di allontanamento e le aree di attesa.	Ask your municipality for information about the Civil Protection Plan to find out about evacuation routes and waiting areas.										Ask your Municipality for information on the Civil Protection Plan to find out which are the evacuation routes and waiting areas.							1			Ask your municipality about the Civil Protection Plan to learn about evacuation routes and waiting areas. 		#ERROR!	In the Google segment there is no actual need to display the noun "municipality" with a capital M. 	
Valuta se, quando le autorità daranno l’indicazione, ti allontanerai con la tua auto o con il mezzo che sarà messo a disposizione dalla protezione civile.	Evaluate whether, when authorities give the order, you will leave using your car or the transport provided by Civil Protection.	1		1			1				Consider whether, when the authorities give the indication, you will leave with your car or with the vehicle that will be made available by the Civil Protection.										When the authorities give the directions, evaluate whether you will evacuate with your car, or the vehicle provided by the civil protection. 		#ERROR!	In the ChatGPT samples "vehicle" might be preferable over "transport". 	
Ricorda di segnalare al tuo Comune se tu o un tuo familiare avete particolari esigenze di assistenza per l’allontanamento e la sistemazione in un’abitazione alternativa.	Remember to report to your municipality if you or a family member have special assistance needs for evacuation and accommodation in an alternative residence.										Remember to notify your Municipality if you or a family member have special assistance needs for moving away and finding accommodation in an alternative home.						1	1			Be sure to notify your municipality if you or a family member has special assistance needs for evacuation and accommodation in alternative housing.		#ERROR!	The Google sample looks cast from the source text when displaying the verb "moving aways", which looks basically like a word-by-word translation of the verb "allontarare". In this case, since the source text is about a natural disaster, "to evacuate" would be a better option. Also, there is no actual need to display the term "municipality" with capital M. 	
Inizia anche a pensare se ti trasferirai in un’altra casa di tua proprietà o da parenti o amici, fuori dalle zone rossa e gialla, ricevendo un contributo economico.	Start considering if you will move to another home you own or stay with relatives or friends outside the red and yellow zones, receiving financial support.	1					1				Also start thinking about whether you will move to another home of your own or to relatives or friends, outside the red and yellow zones, receiving a financial contribution.	4		1		4	1				Also, consider whether you will relocate to another home owned by you or by relatives or friends outside the red and yellow zones, receiving financial assistance from the State.		#ERROR!	a. The Google sample is not as quite as accurate as the ChatGPT and Gold Standard segments. When translating "you will move to another home of your own" is not immediately interpretated as "an alternative accomodation the evacuee possess" but it might be perceived as "relocate to another accomodation with your own means". Hence, the meaning of the message is heavily impacted by the order of the words. Also, the term "contribution" does not look as appropriate as the alternatives provided in the other samples "support, assistance", which better fit the context of the transaltion.  b. The ChatGPT segment misses the term "also", even though it does not have a huge impact on the overall conveyed meaning. 	
In alternativa, potrai usufruire della sistemazione offerta dallo Stato, nella Regione o Provincia autonoma gemellata con il tuo Comune.	Alternatively, you can take advantage of the accommodation offered by the State in the Region or Autonomous Province paired with your municipality.	1					1				Alternatively, you can take advantage of the accommodation offered by the State, in the Region or Autonomous Province twinned with your Municipality.										Otherwise, you can take advantage of the accommodations offered by the State in the Region or Autonomous Province twinned with your municipality.		#ERROR!		
In questa fase operativa iniziano le operazioni più lunghe e complesse da svolgere nella zona rossa: il trasferimento delle persone presenti negli ospedali e negli istituti penitenziari, lo spostamento degli animali da allevamento e la messa in sicurezza dei beni culturali più importanti.	In this operational phase, the longer and more complex operations are carried out in the red zone: transferring people from hospitals and penitentiaries, relocating farm animals, and securing the most important cultural assets.						1	1			In this operational phase, the longest and most complex operations to be carried out in the red zone begin: the transfer of people present in hospitals and penitentiaries, the movement of farm animals and the securing of the most important cultural assets.	1					1				At this operational phase, the most time-consuming and complex operations planned for the red zone begin, including relocation of people in hospitals and penitentiary institutions, displacement of farm animals, and safeguarding major cultural properties.		#ERROR!	a. The ChatGPT sample reflects the cast from the source text. In order to avoid repetition and to sound redundant, it would be preferable to opt for the omission of the term "operation" at least once in the first sentence (i.e. At this stage, the longer and more complex operations...). Also, the sample displays the term "penitentiaries" which might not be easily understood by non-English native speakers. Hence, it might be required the adoption of a term unversally understood like "prisons".  b. The style of the Google sample also is impacted by the cast from the source text, like for instances listing the actions as nouns instead of verbs (i.e. transfering, moving, securing etc.) c. The Gold Standard translation also could avoid repetition by replacing "in this operational phase" with "At this stage".	At this stage, the most time-consuming and complex operations planned for the red zone begin, including relocation of people in hospitals and penitentiary institutions, displacement of farm animals, and safeguarding major cultural properties.
Se ti vuoi allontanare già in questa fase, puoi farlo: riceverai un contributo economico dallo Stato. 	If you wish to leave during this phase, you can do so and will receive financial support from the State.	1					1	1			If you want to leave already at this stage, you can do so: you will receive a financial contribution from the State. 						1				If you already want to evacuate in this phase, you can do it with a financial contribution from the State. 		#ERROR!	a. Both samples reflect the cast from the source text, as the verb "allontarare" is translated word-by-word as "to leave".  b. The Gold standard, on the other  hand, provides a more accurate variety "evacuate".	
Nel caso, ricordati di informare il tuo Comune.	In that case, remember to inform your municipality.						1				If so, remember to inform your Municipality.						1				Please remember to inform your municipality.				
Se decidi di restare, preparati ad allontanarti quando le autorità lo indicheranno:	If you decide to stay, prepare to leave when authorities instruct you to:	1					1				If you decide to stay, be prepared to leave when the authorities indicate it:	1					1				If you decide to stay, be prepared to evacuate when the authorities will order so:		#ERROR!	In both samples the style is impacted by the cast from the source text when translating "allontanare" as "to leave". The Gold Standard supplies to this mistake by translating as "to evacuate".	
Fai un elenco delle cose essenziali da portare con te (documenti, medicine, occhiali da vista, ecc.).	Make a list of essential items to bring with you (documents, medications, glasses, etc.).	4		4		2	1				Make a list of essential things to bring with you (documents, medicines, glasses, etc.).	4		4		2	1				Make a list of essentials to bring (documents, medicines, eyeglasses, etc.).		#ERROR!	Both samples translate the term "occhiali da vista" as "glasses", which in English covers a broad domain of things and object, therefore it is not easily recognizable. The machine translation should have translate such term as "looking glasses" or "eyeglasses" as in the Gold Standard segment.	
Informati sulle vie di allontanamento da seguire.	Find out about the evacuation routes to follow.										Find out about the escape routes to follow.						1				Learn about the evacuation routes to be followed.		#ERROR!		
Se pensi di utilizzare il mezzo messo a disposizione dalla protezione civile, comunicalo al tuo Comune segnalando anche la presenza di eventuali animali domestici per organizzare il loro trasporto.	If you plan to use the transport provided by Civil Protection, inform your municipality and also report any pets to organize their transport.						1				If you plan to use the vehicle made available by the civil protection, notify your Municipality, also reporting the presence of any pets to organize their transportation.										If you plan to use the means provided by civil protection, notify your municipality, and point out any pets' presence to arrange their transport.		#ERROR!	a. The ChatGPT samples is heavily cast from the source text. b. Both samples translate "segnalando" as "to report", which might have a negative connotation. In this case, another alternative could be chosen as "to flag".	
Se non lo hai ancora fatto, informa il tuo Comune se tu o un tuo familiare avete particolari esigenze di assistenza.	If you haven't already, inform your municipality if you or a family member need special assistance.						1				If you haven't already done so, let your local council know if you or a family member has any special care needs.	1		1		1					If you still need to do it, inform your municipality if you or a family member has special needs for assistance.		#ERROR!	a. All of three samples might sound better if they would just invert the order of the sentences, placing "if you haven't already done so" at the end.  b. The Google sample has an issue with translating the term "Comune" as council. As long the meaning of the translation is not heavily impacted, it would be better to stick to "municipality" like in the resto of the other segments, otherwise who reads might think that there is another institution involved in the evacuation process. 	
Se tu o un tuo familiare siete ricoverati, sarete trasferiti in un’altra struttura sanitaria che potrebbe trovarsi in una Regione diversa da quella gemellata con il tuo Comune.	If you or a family member are hospitalized, you will be transferred to another healthcare facility, which may be located in a Region different from the one paired with your municipality.										If you or a family member are hospitalized, you will be transferred to another healthcare facility that may be located in a different Region than the one twinned with your Municipality.										If you or a family member is hospitalized, you will be transferred to another healthcare facility that may not be in the Region twinned with your Municipality.		#ERROR!		
Ricorda che in questa fase, per motivi di sicurezza, l’accesso alla zona rossa sarà regolamentato.	Remember that in this phase, for safety reasons, access to the red zone will be regulated.						1				Remember that at this stage, for security reasons, access to the red zone will be regulated.			1		1	1				Remember that during this phase, access to the red zone will be restricted for safety reasons.		#ERROR!	a. The word order in both samples reflects the cast from the source text. b. Also, the Google segment displays the term "security", whose meaning encompass several concepts, like national security etc. In this case, since the scenario is the one of a natural disaster, it would be preferable to opt for  "safety".	
Se vivi in zona gialla	If you live in the yellow zone										If you live in the yellow zone										If you live in the yellow zone		#ERROR!		
Assicurati di avere a disposizione mascherine protettive, occhiali antipolvere, cibo, acqua, medicine, torcia e attrezzi per rimuovere la cenere.	Ensure you have protective masks, dust goggles, food, water, medications, a flashlight, and tools to remove ash.										Make sure you have protective masks, dust glasses, food, water, medicine, a flashlight and tools to remove ash.										Ensure you have protective masks, dust glasses, food, water, medicine, flashlight, and ash removal tools.		#ERROR!		
Se tu o un tuo familiare avete patologie respiratorie o cardiovascolari, consultate il vostro medico per capire come proteggere al meglio la vostra salute in caso di evento.	If you or a family member have respiratory or cardiovascular conditions, consult your doctor to understand how to best protect your health in the event of an emergency.										If you or a family member has respiratory or cardiovascular diseases, consult your doctor to understand how to best protect your health in the event of an event.	4		4		4	2				If you or a family member has a respiratory or cardiovascular condition, consult your doctor to know how to protect your/their health.		#ERROR!	a. The Google segment shows a repetition of the term "event" that highly impacts the translation outcome as it makes the meaning conveyed not understandable for readers.  b. Gold Standard translation displays an omission in the same point. The message sounds more fluid but an important piece of information is missing.  c. Both Google and Gold Standard translation displat the verb "to have" as "has" even with more than one pronoun. 	If you or a family member have a respiratory or cardiovascular condition, consult your doctor to know how to protect your/their health in case of natural disaster.
In questa fase operativa viene inviato il messaggio IT-alert per avvisare di una possibile eruzione imminente.	In this operational phase, the IT-alert message will be sent to warn of a possible imminent eruption.						1				In this operational phase, the IT- alert message is sent to warn of a possible imminent eruption.						1				In this operational phase, the IT-alert message is sent to alert of a potential upcoming eruption.		#ERROR!	a. All of three samples show the expression "in this operation phase" which is not wrong, but results highly cast from the source text. The translation could sound better if replacing it with "at this stage" or just "in this phase". b. A high degree of cast from the source text can be detected in the ChatGPT sample when looking at the future tense in the expression "will be sent". Usually, as these are instructions, present tense works better.	In this phase, the IT-allert notification is sent to alerto of a potential upcoming eruption.
In allarme, è previsto l’allontanamento della popolazione dalla zona rossa. 	In the alarm phase, the population in the red zone is expected to evacuate.										In alarm, the population is expected to move away from the red zone. 	2					2				In the alarm phase, evacuation of the population from the red zone is planned. 		#ERROR!	The Google translation requires a bit more of interpretation as it doesn't specify that there is an alarm phase, as displayed in the other samples, and it also transaltes "allontanamento" as "to move away". Although right, since the topic is how to act during a natural disaster, nouns/verbs such as "evacuation"/"to evacuate" would be more appropriate. 	
Il tempo massimo stimato per questa attività è di tre giorni (72 ore). 	The maximum estimated time for this activity is three days (72 hours). 						1				The maximum estimated time for this activity is three days (72 hours). 						1				The maximum estimated time for the evacuation is three days (72 hours). 			In both samples there is a high cast from the source text when translating the evacuation as "the activity". 	
Le operazioni sono coordinate dalle autorità di protezione civile.	Operations are coordinated by Civil Protection authorities.							1			The operations are coordinated by the civil protection authorities.										Operations are coordinated by civil protection authorities.				
Una volta diramato l’ordine di allontanamento, vai a casa e prepara la valigia. 	Once the evacuation order is issued, go home and pack your suitcase. 										Once the order to stay away has been issued, go home and pack your suitcase. 	2		2			2				Once the evacuation order has been issued, go home, and pack your suitcase. 		#ERROR!	The Google sample does not take into account that the scenario of the source text is set during a natural disaster, hence "to stay away" should be replaced by "to evacuate" or "evacuation".	
Ricorda di prendere le cose essenziali (documenti, medicine ecc.).	Remember to take essential items (documents, medications, etc.).	1					1				Remember to take the essentials (documents, medicines, etc.).			1							Remember to take essentials (documents, medicines, etc.).			a. In the Google and Gold Standard samples "medications" suits better than "medicines". b. We see a cast from the original text with "essential items". The other samples translate as "essentials".	Remember to take essentials (documents, medications, etc.)
Non perdere tempo a mettere in salvo beni e oggetti che non porterai con te.	Do not waste time securing belongings that you will not bring with you. 										Don't waste time saving goods and objects that you won't be taking with you.	1					1				Do not waste time securing unnecessary possessions and items.		#ERROR!		
Prima di uscire di casa chiudi porte, finestre, gas, acqua e disattiva l’impianto elettrico.	Before leaving, close doors, windows, gas, and water and turn off the electricity.							1			Before leaving the house, close doors, windows, gas, water and turn off the electrical system.										Before you leave home close doors and windows and turn off the electrical, gas, and water systems.		#ERROR!	ChatGPT sample displays an addition "and" before water when this is not required not present in the original text.	
Se decidi di uscire dall’area autonomamente, segui solo le vie di allontanamento previste nella pianificazione, secondo gli orari stabiliti.	If you decide to leave the area independently, follow only the evacuation routes outlined in the plan, adhering to the scheduled times.										If you decide to leave the area on your own, follow only the exit routes provided in the planning, according to the established times.										If you decide to leave the area autonomously, follow only the evacuation routes provided in the Plan, according to the established timetables.		#ERROR!		
Assicurati che la tua auto abbia il rifornimento sufficiente.	Make sure your car has enough fuel.										Make sure your car has enough fuel.										Make sure your car has sufficient fuel.		#ERROR!		
Se scegli il trasporto assistito, raggiungi l’area di attesa a te assegnata dal Piano di protezione civile comunale, secondo le tempistiche previste dal tuo Comune.	If you choose assisted transportation, go to the designated waiting area assigned by your municipality’s Civil Protection Plan, according to the timetable provided by your municipality.										If you choose assisted transport, reach the waiting area assigned to you by the Municipal Civil Protection Plan, according to the timeframes provided by your Municipality.										If you choose assisted transportation, get to the waiting area assigned to you by the Municipality's Civil Protection Plan, according to the timetable provided.		#ERROR!		
Potrai portare con te il tuo animale domestico, secondo le modalità fornite dal tuo Comune.	You can bring your pet with you, following the guidelines provided by your municipality.										You can bring your pet with you, according to the methods provided by your Municipality.	1					1				You may bring your pet with you according to the arrangements provided by your municipality.		#ERROR!	The Google segment is slightly impacted in the style as the formulation of the sentece does not look linear.	
L’interdizione della zona rossa potrà durare molto tempo e l’accesso all’area sarà presidiato dalle forze dell’ordine.	Access to the red zone may be prohibited for a long time, and the area will be monitored by law enforcement.										The red zone ban may last a long time and access to the area will be supervised by law enforcement.						1				The red zone exclusion may last for a long time, and access to the area will be controlled by police forces.		#ERROR!	"To monitor" might suit better than "to supervise" in the Google sample. 	
Preparati anche tu a un possibile allontanamento temporaneo.	Prepare yourself for possible temporary evacuation as well.										prepare yourself for a possible temporary removal.	8		8		8	4				Be prepared for possible temporary evacuation as well.	.	#ERROR!	The meaning conveyed in teh Google translation is highly impacted from the term "removal" which does not look to be the correct translation in this case. Such choice might trigger misunderstandings. 	
Tutte le persone della zona rossa hanno trovato autonomamente una sistemazione al di fuori delle zone a rischio o sono state trasferite nelle Regioni o Province Autonome gemellate.	All residents of the red zone have either independently arranged accommodation outside the risk areas or been relocated to the paired Regions or Autonomous Provinces.										All the people in the red zone have independently found accommodation outside the risk areas or have been transferred to the twinned Regions or Autonomous Provinces.										All people in the red zone have autonomously found accommodation outside the red zone or have been relocated to the twinned Regions or Autonomous Provinces.		#ERROR!		
Se ti trovi in un’area interessata da ricaduta abbondante di ceneri vulcaniche, su richiesta delle autorità di protezione civile, devi lasciare temporaneamente la tua abitazione.	If you are in an area affected by heavy volcanic ashfall, at the request of Civil Protection authorities, you must temporarily leave your home. You will be assigned accommodation within the Campania Region.										If you are in an area affected by heavy volcanic ash fallout, at the request of the civil protection authorities, you must temporarily leave your home. You will be assigned accommodation within the Campania Region.										If your area is suffering from heavy volcanic ash fallout, you must temporarily leave your home at the request of civil protection authorities. You will be assigned accommodation within the Campania Region.				
Prima di bere l’acqua dal rubinetto assicurati che ordinanze o avvisi comunali non lo vietino; lava bene i cibi che sono venuti a contatto con le ceneri vulcaniche.	Before drinking tap water, make sure municipal ordinances or advisories do not prohibit it; thoroughly wash food that has come into contact with volcanic ash.	2				2	2				Before drinking tap water, make sure there are no ordinances or notices prohibiting it; wash any food that has come into contact with volcanic ash thoroughly.										Before drinking water from the tap, make sure that municipal ordinances or notices do not ban it; wash well any food that has come in contact with volcanic ashes.			a. The sentence structure in the ChatGPT sample makes quite hard to understand the meaning as it displays the phrase with almost a double negative (that for English speakers might sound like an affirmation). Sentence structures as shown in the other two samples are preferable. b. Gold Standard translation displays "water from the tap". Usually, the expression "tap water" is way more familiar among English speakers. 	
Se la zona in cui vivi non è stata evacuata, durante la ricaduta di ceneri vulcaniche, rimani in casa con le finestre chiuse.	If the area where you live has not been evacuated, during volcanic ashfall, stay indoors with windows closed.										If the area where you live has not been evacuated, during volcanic ash fallout, stay indoors with the windows closed.										If your area has not been evacuated during volcanic ash fallout, stay indoors with windows closed.				
Se devi uscire è consigliabile indossare una mascherina protettiva e occhiali antipolvere.	If you need to go outside, it is advisable to wear a protective mask and dust goggles.										If you have to go out, it is advisable to wear a protective mask and dust goggles.										Please wear a protective mask and dust glasses if you must go outside.			ChatGPT and Google segments stick, in the structure, to the source text. Gold Standard translation, on the other hand, sounds more organic.	
È molto pericoloso guidare nei tratti di strada coperti di cenere. 	Driving on roads covered with ash is very dangerous. 										It is very dangerous to drive on ash-covered sections of road. 										It is extremely dangerous to drive on ash-covered roads. 				
L’auto può danneggiarsi e intralciare i mezzi di soccorso. 	The car may be damaged and obstruct emergency vehicles. 										The car can be damaged and hinder emergency vehicles. 										Your car can get damaged and impede emergency vehicles. 				
Evita l’uso di motocicli.	Avoid using motorcycles.										Avoid using motorcycles.										Avoid the use of motorcycles.				
