SRC:it	 engine1: ChatGPT to English	IMP_GPT	RAM_GPT	TRM_GPT	UGR_GPT	MIS_GPT	STL_GPT	PRF_GPT	PRN_GPT	SEGS_GPT	Google Translate to English	IMP_GT	RAM_GT	TRM_GT	UGR_GT	MIS_GT	STL_GT	PRF_GT	PRN_GT	SEGS_GT	Human Gold Standard	Segment Penalty Score	Levenstein XXX-Human	Comment	Post-edited segment
In alternativa, potrai usufruire della sistemazione offerta dallo Stato, nella Regione o Provincia autonoma gemellata con il tuo Comune.	Alternatively, you can take advantage of the accommodation offered by the State in the Region or Autonomous Province paired with your municipality.										Alternatively, you can take advantage of the accommodation offered by the State, in the Region or Autonomous Province twinned with your Municipality.										Otherwise, you can take advantage of the accommodations offered by the State in the Region or Autonomous Province twinned with your municipality.		#ERROR!		
In questa fase operativa iniziano le operazioni più lunghe e complesse da svolgere nella zona rossa: il trasferimento delle persone presenti negli ospedali e negli istituti penitenziari, lo spostamento degli animali da allevamento e la messa in sicurezza dei beni culturali più importanti.	In this operational phase, the longer and more complex operations are carried out in the red zone: transferring people from hospitals and penitentiaries, relocating farm animals, and securing the most important cultural assets.										In this operational phase, the longest and most complex operations to be carried out in the red zone begin: the transfer of people present in hospitals and penitentiaries, the movement of farm animals and the securing of the most important cultural assets.										At this operational phase, the most time-consuming and complex operations planned for the red zone begin, including relocation of people in hospitals and penitentiary institutions, displacement of farm animals, and safeguarding major cultural properties.		#ERROR!		
Se ti vuoi allontanare già in questa fase, puoi farlo: riceverai un contributo economico dallo Stato. 	If you wish to leave during this phase, you can do so and will receive financial support from the State.										If you want to leave already at this stage, you can do so: you will receive a financial contribution from the State. 										If you already want to evacuate in this phase, you can do it with a financial contribution from the State. 		#ERROR!	Repetition of the same segment: 92-176	
Nel caso, ricordati di informare il tuo Comune.	In that case, remember to inform your municipality.										If so, remember to inform your Municipality.										Please remember to inform your municipality.			Repetition of the same segment: 93-177	
Se decidi di restare, preparati ad allontanarti quando le autorità lo indicheranno:	If you decide to stay, prepare to leave when authorities instruct you to:										If you decide to stay, be prepared to leave when the authorities indicate it:										If you decide to stay, be prepared to evacuate when the authorities will order so:		#ERROR!		
Fai un elenco delle cose essenziali da portare con te (documenti, medicine, occhiali da vista, ecc.).	Make a list of essential items to bring with you (documents, medications, glasses, etc.).										Make a list of essential things to bring with you (documents, medicines, glasses, etc.).										Make a list of essentials to bring (documents, medicines, eyeglasses, etc.).		#ERROR!		
Informati sulle vie di allontanamento da seguire.	Find out about the evacuation routes to follow.										Find out about the escape routes to follow.										Learn about the evacuation routes to be followed.		#ERROR!		
Se pensi di utilizzare il mezzo messo a disposizione dalla protezione civile, comunicalo al tuo Comune segnalando anche la presenza di eventuali animali domestici per organizzare il loro trasporto.	If you plan to use the transport provided by Civil Protection, inform your municipality and also report any pets to organize their transport.										If you plan to use the vehicle made available by the civil protection, notify your Municipality, also reporting the presence of any pets to organize their transportation.										If you plan to use the means provided by civil protection, notify your municipality, and point out any pets' presence to arrange their transport.		#ERROR!		
Se non lo hai ancora fatto, informa il tuo Comune se tu o un tuo familiare avete particolari esigenze di assistenza.	If you haven't already, inform your municipality if you or a family member need special assistance.				2						If you haven't already done so, let your local council know if you or a family member has any special care needs.										If you still need to do it, inform your municipality if you or a family member has special needs for assistance.		#ERROR!	GPT: presents moderate grammatical issues. "If you or a family member" should be followed by "has" instead of "have". The verb should follow the proximity rule, even if "or" acts as a copula.	If you haven't already, inform your municipality if you or a family member needs special assistance.
Se tu o un tuo familiare siete ricoverati, sarete trasferiti in un’altra struttura sanitaria che potrebbe trovarsi in una Regione diversa da quella gemellata con il tuo Comune.	If you or a family member are hospitalized, you will be transferred to another healthcare facility, which may be located in a Region different from the one paired with your municipality.				2						If you or a family member are hospitalized, you will be transferred to another healthcare facility that may be located in a different Region than the one twinned with your Municipality.				2						If you or a family member is hospitalized, you will be transferred to another healthcare facility that may not be in the Region twinned with your Municipality.		#ERROR!	GPT and GT: both present moderate grammatical issues. "If you or your family member" should be followed by "is". The verb should follow the proximity rule, even if "or" acts as a copula.	If you or a family member is hospitalized, you will be transferred to another healthcare facility that may be located in a different Region than the one twinned with your Municipality.
Ricorda che in questa fase, per motivi di sicurezza, l’accesso alla zona rossa sarà regolamentato.	Remember that in this phase, for safety reasons, access to the red zone will be regulated.										Remember that at this stage, for security reasons, access to the red zone will be regulated.										Remember that during this phase, access to the red zone will be restricted for safety reasons.		#ERROR!		
Se vivi in zona gialla	If you live in the yellow zone										If you live in the yellow zone										If you live in the yellow zone		#ERROR!		
Assicurati di avere a disposizione mascherine protettive, occhiali antipolvere, cibo, acqua, medicine, torcia e attrezzi per rimuovere la cenere.	Ensure you have protective masks, dust goggles, food, water, medications, a flashlight, and tools to remove ash.										Make sure you have protective masks, dust glasses, food, water, medicine, a flashlight and tools to remove ash.										Ensure you have protective masks, dust glasses, food, water, medicine, flashlight, and ash removal tools.		#ERROR!		
Se tu o un tuo familiare avete patologie respiratorie o cardiovascolari, consultate il vostro medico per capire come proteggere al meglio la vostra salute in caso di evento.	If you or a family member have respiratory or cardiovascular conditions, consult your doctor to understand how to best protect your health in the event of an emergency.				2						If you or a family member has respiratory or cardiovascular diseases, consult your doctor to understand how to best protect your health in the event of an event.										If you or a family member has a respiratory or cardiovascular condition, consult your doctor to know how to protect your/their health.		#ERROR!	GPT: presents moderate grammatical issues. "If you or your family member" should be followed by "has" instead of "have". The verb should follow the proximity rule, even if "or" acts as a copula.	If you or a family member has a respiratory or cardiovascular condition, consult your doctor to understand how to best protect your health in the event of an emergency.
In questa fase operativa viene inviato il messaggio IT-alert per avvisare di una possibile eruzione imminente.	In this operational phase, the IT-alert message will be sent to warn of a possible imminent eruption.										In this operational phase, the IT- alert message is sent to warn of a possible imminent eruption.										In this operational phase, the IT-alert message is sent to alert of a potential upcoming eruption.		#ERROR!		
In allarme, è previsto l’allontanamento della popolazione dalla zona rossa. 	In the alarm phase, the population in the red zone is expected to evacuate.										In alarm, the population is expected to move away from the red zone. 										In the alarm phase, evacuation of the population from the red zone is planned. 		#ERROR!		
Il tempo massimo stimato per questa attività è di tre giorni (72 ore). 	The maximum estimated time for this activity is three days (72 hours). 										The maximum estimated time for this activity is three days (72 hours). 										The maximum estimated time for the evacuation is three days (72 hours). 				
Le operazioni sono coordinate dalle autorità di protezione civile.	Operations are coordinated by Civil Protection authorities.										The operations are coordinated by the civil protection authorities.										Operations are coordinated by civil protection authorities.				
Una volta diramato l’ordine di allontanamento, vai a casa e prepara la valigia. 	Once the evacuation order is issued, go home and pack your suitcase. 										Once the order to stay away has been issued, go home and pack your suitcase. 										Once the evacuation order has been issued, go home, and pack your suitcase. 		#ERROR!		
Ricorda di prendere le cose essenziali (documenti, medicine ecc.).	Remember to take essential items (documents, medications, etc.).										Remember to take the essentials (documents, medicines, etc.).										Remember to take essentials (documents, medicines, etc.).				
Non perdere tempo a mettere in salvo beni e oggetti che non porterai con te.	Do not waste time securing belongings that you will not bring with you. 										Don't waste time saving goods and objects that you won't be taking with you.			4							Do not waste time securing unnecessary possessions and items.		#ERROR!		
Prima di uscire di casa chiudi porte, finestre, gas, acqua e disattiva l’impianto elettrico.	Before leaving, close doors, windows, gas, and water and turn off the electricity.				2						Before leaving the house, close doors, windows, gas, water and turn off the electrical system.				2						Before you leave home close doors and windows and turn off the electrical, gas, and water systems.		#ERROR!	GPT and GT: use the phrase "close the gas" etc. which should be rephrased as 'turn off' or 'shut off.'"	Before you leave home close doors and windows and turn off the electrical, gas, and water systems.
Se decidi di uscire dall’area autonomamente, segui solo le vie di allontanamento previste nella pianificazione, secondo gli orari stabiliti.	If you decide to leave the area independently, follow only the evacuation routes outlined in the plan, adhering to the scheduled times.										If you decide to leave the area on your own, follow only the exit routes provided in the planning, according to the established times.										If you decide to leave the area autonomously, follow only the evacuation routes provided in the Plan, according to the established timetables.		#ERROR!		
Assicurati che la tua auto abbia il rifornimento sufficiente.	Make sure your car has enough fuel.										Make sure your car has enough fuel.										Make sure your car has sufficient fuel.		#ERROR!		
Se scegli il trasporto assistito, raggiungi l’area di attesa a te assegnata dal Piano di protezione civile comunale, secondo le tempistiche previste dal tuo Comune.	If you choose assisted transportation, go to the designated waiting area assigned by your municipality’s Civil Protection Plan, according to the timetable provided by your municipality.										If you choose assisted transport, reach the waiting area assigned to you by the Municipal Civil Protection Plan, according to the timeframes provided by your Municipality.										If you choose assisted transportation, get to the waiting area assigned to you by the Municipality's Civil Protection Plan, according to the timetable provided.		#ERROR!		
Potrai portare con te il tuo animale domestico, secondo le modalità fornite dal tuo Comune.	You can bring your pet with you, following the guidelines provided by your municipality.										You can bring your pet with you, according to the methods provided by your Municipality.										You may bring your pet with you according to the arrangements provided by your municipality.		#ERROR!		
L’interdizione della zona rossa potrà durare molto tempo e l’accesso all’area sarà presidiato dalle forze dell’ordine.	Access to the red zone may be prohibited for a long time, and the area will be monitored by law enforcement.										The red zone ban may last a long time and access to the area will be supervised by law enforcement.										The red zone exclusion may last for a long time, and access to the area will be controlled by police forces.		#ERROR!		
Preparati anche tu a un possibile allontanamento temporaneo.	Prepare yourself for possible temporary evacuation as well.										prepare yourself for a possible temporary removal.										Be prepared for possible temporary evacuation as well.	.	#ERROR!		
Tutte le persone della zona rossa hanno trovato autonomamente una sistemazione al di fuori delle zone a rischio o sono state trasferite nelle Regioni o Province Autonome gemellate.	All residents of the red zone have either independently arranged accommodation outside the risk areas or been relocated to the paired Regions or Autonomous Provinces.										All the people in the red zone have independently found accommodation outside the risk areas or have been transferred to the twinned Regions or Autonomous Provinces.										All people in the red zone have autonomously found accommodation outside the red zone or have been relocated to the twinned Regions or Autonomous Provinces.		#ERROR!		
Se ti trovi in un’area interessata da ricaduta abbondante di ceneri vulcaniche, su richiesta delle autorità di protezione civile, devi lasciare temporaneamente la tua abitazione.	If you are in an area affected by heavy volcanic ashfall, at the request of Civil Protection authorities, you must temporarily leave your home. You will be assigned accommodation within the Campania Region.										If you are in an area affected by heavy volcanic ash fallout, at the request of the civil protection authorities, you must temporarily leave your home. You will be assigned accommodation within the Campania Region.										If your area is suffering from heavy volcanic ash fallout, you must temporarily leave your home at the request of civil protection authorities. You will be assigned accommodation within the Campania Region.				
Prima di bere l’acqua dal rubinetto assicurati che ordinanze o avvisi comunali non lo vietino; lava bene i cibi che sono venuti a contatto con le ceneri vulcaniche.	Before drinking tap water, make sure municipal ordinances or advisories do not prohibit it; thoroughly wash food that has come into contact with volcanic ash.										Before drinking tap water, make sure there are no ordinances or notices prohibiting it; wash any food that has come into contact with volcanic ash thoroughly.										Before drinking water from the tap, make sure that municipal ordinances or notices do not ban it; wash well any food that has come in contact with volcanic ashes.				
Se la zona in cui vivi non è stata evacuata, durante la ricaduta di ceneri vulcaniche, rimani in casa con le finestre chiuse.	If the area where you live has not been evacuated, during volcanic ashfall, stay indoors with windows closed.										If the area where you live has not been evacuated, during volcanic ash fallout, stay indoors with the windows closed.										If your area has not been evacuated during volcanic ash fallout, stay indoors with windows closed.				
Se devi uscire è consigliabile indossare una mascherina protettiva e occhiali antipolvere.	If you need to go outside, it is advisable to wear a protective mask and dust goggles.										If you have to go out, it is advisable to wear a protective mask and dust goggles.										Please wear a protective mask and dust glasses if you must go outside.				
È molto pericoloso guidare nei tratti di strada coperti di cenere. 	Driving on roads covered with ash is very dangerous. 										It is very dangerous to drive on ash-covered sections of road. 										It is extremely dangerous to drive on ash-covered roads. 				
L’auto può danneggiarsi e intralciare i mezzi di soccorso. 	The car may be damaged and obstruct emergency vehicles. 										The car can be damaged and hinder emergency vehicles. 										Your car can get damaged and impede emergency vehicles. 				
Evita l’uso di motocicli.	Avoid using motorcycles.										Avoid using motorcycles.										Avoid the use of motorcycles.				
