SRC:it	 engine1: ChatGPT to English	IMP_GPT	RAM_GPT	TRM_GPT	UGR_GPT	MIS_GPT	STL_GPT	PRF_GPT	PRN_GPT	SEGS_GPT	Google Translate to English	IMP_GT	RAM_GT	TRM_GT	UGR_GT	MIS_GT	STL_GT	PRF_GT	PRN_GT	SEGS_GT	Human Gold Standard	Segment Penalty Score	Levenstein XXX-Human	Comment	Post-edited segment
Se ti vuoi allontanare già in questa fase, puoi farlo: riceverai un contributo economico dallo Stato. 	If you wish to leave during this phase, you can do so and will receive financial support from the State.										If you want to leave already at this stage, you can do so: you will receive a financial contribution from the State. 										If you already want to evacuate in this phase, you can do it with a financial contribution from the State. 		#ERROR!	ChatGPT version is more fluent compared to the Gold, which is too literal	
Nel caso, ricordati di informare il tuo Comune.	In that case, remember to inform your municipality.										If so, remember to inform your Municipality.										Please remember to inform your municipality.				
Se decidi di restare, preparati ad allontanarti quando le autorità lo indicheranno:	If you decide to stay, prepare to leave when authorities instruct you to:										If you decide to stay, be prepared to leave when the authorities indicate it:					2					If you decide to stay, be prepared to evacuate when the authorities will order so:		#ERROR!	Gold standard is too literal 	
Fai un elenco delle cose essenziali da portare con te (documenti, medicine, occhiali da vista, ecc.).	Make a list of essential items to bring with you (documents, medications, glasses, etc.).										Make a list of essential things to bring with you (documents, medicines, glasses, etc.).										Make a list of essentials to bring (documents, medicines, eyeglasses, etc.).		#ERROR!	Gold standard uses eyeglasses 	
Informati sulle vie di allontanamento da seguire.	Find out about the evacuation routes to follow.										Find out about the escape routes to follow.			1							Learn about the evacuation routes to be followed.		#ERROR!		
Se pensi di utilizzare il mezzo messo a disposizione dalla protezione civile, comunicalo al tuo Comune segnalando anche la presenza di eventuali animali domestici per organizzare il loro trasporto.	If you plan to use the transport provided by Civil Protection, inform your municipality and also report any pets to organize their transport.										If you plan to use the vehicle made available by the civil protection, notify your Municipality, also reporting the presence of any pets to organize their transportation.			2							If you plan to use the means provided by civil protection, notify your municipality, and point out any pets' presence to arrange their transport.		#ERROR!	ChatGPT provides the better option out of all the three	
Se non lo hai ancora fatto, informa il tuo Comune se tu o un tuo familiare avete particolari esigenze di assistenza.	If you haven't already, inform your municipality if you or a family member need special assistance.										If you haven't already done so, let your local council know if you or a family member has any special care needs.			4							If you still need to do it, inform your municipality if you or a family member has special needs for assistance.		#ERROR!	local council is hard to understand (GT)	
Se tu o un tuo familiare siete ricoverati, sarete trasferiti in un’altra struttura sanitaria che potrebbe trovarsi in una Regione diversa da quella gemellata con il tuo Comune.	If you or a family member are hospitalized, you will be transferred to another healthcare facility, which may be located in a Region different from the one paired with your municipality.		1								If you or a family member are hospitalized, you will be transferred to another healthcare facility that may be located in a different Region than the one twinned with your Municipality.										If you or a family member is hospitalized, you will be transferred to another healthcare facility that may not be in the Region twinned with your Municipality.		#ERROR!		
Ricorda che in questa fase, per motivi di sicurezza, l’accesso alla zona rossa sarà regolamentato.	Remember that in this phase, for safety reasons, access to the red zone will be regulated.		1								Remember that at this stage, for security reasons, access to the red zone will be regulated.		1								Remember that during this phase, access to the red zone will be restricted for safety reasons.		#ERROR!		
Se vivi in zona gialla	If you live in the yellow zone										If you live in the yellow zone										If you live in the yellow zone		#ERROR!		
Assicurati di avere a disposizione mascherine protettive, occhiali antipolvere, cibo, acqua, medicine, torcia e attrezzi per rimuovere la cenere.	Ensure you have protective masks, dust goggles, food, water, medications, a flashlight, and tools to remove ash.										Make sure you have protective masks, dust glasses, food, water, medicine, a flashlight and tools to remove ash.			2							Ensure you have protective masks, dust glasses, food, water, medicine, flashlight, and ash removal tools.		#ERROR!	Dust glasses is used by GT and Gold, the correct term is dust goggles (ChatGPT)	
Se tu o un tuo familiare avete patologie respiratorie o cardiovascolari, consultate il vostro medico per capire come proteggere al meglio la vostra salute in caso di evento.	If you or a family member have respiratory or cardiovascular conditions, consult your doctor to understand how to best protect your health in the event of an emergency.										If you or a family member has respiratory or cardiovascular diseases, consult your doctor to understand how to best protect your health in the event of an event.							2			If you or a family member has a respiratory or cardiovascular condition, consult your doctor to know how to protect your/their health.		#ERROR!	GT is redundant (in the event of an event)	
In questa fase operativa viene inviato il messaggio IT-alert per avvisare di una possibile eruzione imminente.	In this operational phase, the IT-alert message will be sent to warn of a possible imminent eruption.		1								In this operational phase, the IT- alert message is sent to warn of a possible imminent eruption.										In this operational phase, the IT-alert message is sent to alert of a potential upcoming eruption.		#ERROR!	ChatGPT uses the future tense instead of the present	
In allarme, è previsto l’allontanamento della popolazione dalla zona rossa. 	In the alarm phase, the population in the red zone is expected to evacuate.						2				In alarm, the population is expected to move away from the red zone. 						2				In the alarm phase, evacuation of the population from the red zone is planned. 		#ERROR!	GT and ChatGPT use "In alarm/in alarm phase", which is not the correct expression. GT makes a small terminology error	
Il tempo massimo stimato per questa attività è di tre giorni (72 ore). 	The maximum estimated time for this activity is three days (72 hours). 										The maximum estimated time for this activity is three days (72 hours). 										The maximum estimated time for the evacuation is three days (72 hours). 				
Le operazioni sono coordinate dalle autorità di protezione civile.	Operations are coordinated by Civil Protection authorities.										The operations are coordinated by the civil protection authorities.			1							Operations are coordinated by civil protection authorities.				
Una volta diramato l’ordine di allontanamento, vai a casa e prepara la valigia. 	Once the evacuation order is issued, go home and pack your suitcase. 										Once the order to stay away has been issued, go home and pack your suitcase. 	2									Once the evacuation order has been issued, go home, and pack your suitcase. 		#ERROR!	GT uses the verb stay away in a not appropriate context.	
Ricorda di prendere le cose essenziali (documenti, medicine ecc.).	Remember to take essential items (documents, medications, etc.).										Remember to take the essentials (documents, medicines, etc.).										Remember to take essentials (documents, medicines, etc.).				
Non perdere tempo a mettere in salvo beni e oggetti che non porterai con te.	Do not waste time securing belongings that you will not bring with you. 										Don't waste time saving goods and objects that you won't be taking with you.	1									Do not waste time securing unnecessary possessions and items.		#ERROR!		
Prima di uscire di casa chiudi porte, finestre, gas, acqua e disattiva l’impianto elettrico.	Before leaving, close doors, windows, gas, and water and turn off the electricity.						1				Before leaving the house, close doors, windows, gas, water and turn off the electrical system.										Before you leave home close doors and windows and turn off the electrical, gas, and water systems.		#ERROR!	In this case GT provides a better option	
Se decidi di uscire dall’area autonomamente, segui solo le vie di allontanamento previste nella pianificazione, secondo gli orari stabiliti.	If you decide to leave the area independently, follow only the evacuation routes outlined in the plan, adhering to the scheduled times.						1				If you decide to leave the area on your own, follow only the exit routes provided in the planning, according to the established times.										If you decide to leave the area autonomously, follow only the evacuation routes provided in the Plan, according to the established timetables.		#ERROR!	ChatGPT uses terms which may be not easy to understand for lay people	
Assicurati che la tua auto abbia il rifornimento sufficiente.	Make sure your car has enough fuel.										Make sure your car has enough fuel.										Make sure your car has sufficient fuel.		#ERROR!	GT and ChatGPT provide better options than Gold	
Se scegli il trasporto assistito, raggiungi l’area di attesa a te assegnata dal Piano di protezione civile comunale, secondo le tempistiche previste dal tuo Comune.	If you choose assisted transportation, go to the designated waiting area assigned by your municipality’s Civil Protection Plan, according to the timetable provided by your municipality.										If you choose assisted transport, reach the waiting area assigned to you by the Municipal Civil Protection Plan, according to the timeframes provided by your Municipality.	1									If you choose assisted transportation, get to the waiting area assigned to you by the Municipality's Civil Protection Plan, according to the timetable provided.		#ERROR!	The term timetable work best in this context	
Potrai portare con te il tuo animale domestico, secondo le modalità fornite dal tuo Comune.	You can bring your pet with you, following the guidelines provided by your municipality.										You can bring your pet with you, according to the methods provided by your Municipality.			2							You may bring your pet with you according to the arrangements provided by your municipality.		#ERROR!	ChatGPT provides the best option	
L’interdizione della zona rossa potrà durare molto tempo e l’accesso all’area sarà presidiato dalle forze dell’ordine.	Access to the red zone may be prohibited for a long time, and the area will be monitored by law enforcement.	2		2			2				The red zone ban may last a long time and access to the area will be supervised by law enforcement.	2		2							The red zone exclusion may last for a long time, and access to the area will be controlled by police forces.		#ERROR!	GT and ChatGPT use hard to understand words	
Preparati anche tu a un possibile allontanamento temporaneo.	Prepare yourself for possible temporary evacuation as well.										prepare yourself for a possible temporary removal.		8								Be prepared for possible temporary evacuation as well.	.	#ERROR!	ChatGPT provides the best option; Source is ambiguous 	
Tutte le persone della zona rossa hanno trovato autonomamente una sistemazione al di fuori delle zone a rischio o sono state trasferite nelle Regioni o Province Autonome gemellate.	All residents of the red zone have either independently arranged accommodation outside the risk areas or been relocated to the paired Regions or Autonomous Provinces.		1								All the people in the red zone have independently found accommodation outside the risk areas or have been transferred to the twinned Regions or Autonomous Provinces.										All people in the red zone have autonomously found accommodation outside the red zone or have been relocated to the twinned Regions or Autonomous Provinces.		#ERROR!		
Se ti trovi in un’area interessata da ricaduta abbondante di ceneri vulcaniche, su richiesta delle autorità di protezione civile, devi lasciare temporaneamente la tua abitazione.	If you are in an area affected by heavy volcanic ashfall, at the request of Civil Protection authorities, you must temporarily leave your home. You will be assigned accommodation within the Campania Region.										If you are in an area affected by heavy volcanic ash fallout, at the request of the civil protection authorities, you must temporarily leave your home. You will be assigned accommodation within the Campania Region.								1		If your area is suffering from heavy volcanic ash fallout, you must temporarily leave your home at the request of civil protection authorities. You will be assigned accommodation within the Campania Region.			ChatGPT provides the best option	
Prima di bere l’acqua dal rubinetto assicurati che ordinanze o avvisi comunali non lo vietino; lava bene i cibi che sono venuti a contatto con le ceneri vulcaniche.	Before drinking tap water, make sure municipal ordinances or advisories do not prohibit it; thoroughly wash food that has come into contact with volcanic ash.						1				Before drinking tap water, make sure there are no ordinances or notices prohibiting it; wash any food that has come into contact with volcanic ash thoroughly.						1				Before drinking water from the tap, make sure that municipal ordinances or notices do not ban it; wash well any food that has come in contact with volcanic ashes.			The verb prohibit used by GT and ChatGPT may not be immediately easy to understand	
Se la zona in cui vivi non è stata evacuata, durante la ricaduta di ceneri vulcaniche, rimani in casa con le finestre chiuse.	If the area where you live has not been evacuated, during volcanic ashfall, stay indoors with windows closed.										If the area where you live has not been evacuated, during volcanic ash fallout, stay indoors with the windows closed.										If your area has not been evacuated during volcanic ash fallout, stay indoors with windows closed.			GT and Gold are similar, ChatGPT uses ashfall term	
Se devi uscire è consigliabile indossare una mascherina protettiva e occhiali antipolvere.	If you need to go outside, it is advisable to wear a protective mask and dust goggles.	2									If you have to go out, it is advisable to wear a protective mask and dust goggles.	2					1				Please wear a protective mask and dust glasses if you must go outside.			Gold is easier to understand	
È molto pericoloso guidare nei tratti di strada coperti di cenere. 	Driving on roads covered with ash is very dangerous. 										It is very dangerous to drive on ash-covered sections of road. 										It is extremely dangerous to drive on ash-covered roads. 				
L’auto può danneggiarsi e intralciare i mezzi di soccorso. 	The car may be damaged and obstruct emergency vehicles. 										The car can be damaged and hinder emergency vehicles. 						4				Your car can get damaged and impede emergency vehicles. 			Gold standard uses a very specific word, while GT uses hinder, which is hard to understand for lay people. ChatGPT uses a slightly better option with obstruct	
Evita l’uso di motocicli.	Avoid using motorcycles.										Avoid using motorcycles.										Avoid the use of motorcycles.				
